coin,action,price,balance,profit
shiba-inu,sell,1.3249665244075004e-05,0.01,0.0
shiba-inu,buy,1.3249665244075004e-05,0.01,0
shiba-inu,sell,1.3347061212698463e-05,0.01,0.0
shiba-inu,buy,1.3347061212698463e-05,0.01,0
shiba-inu,sell,1.3067055078863632e-05,0.01,-0.0
shiba-inu,buy,1.3137942914909218e-05,0.01,0
shiba-inu,buy,1.3154957741789985e-05,0.0,0
shiba-inu,buy,1.3212817066232674e-05,0.0,0
shiba-inu,buy,1.3195851352065802e-05,0.0,0
shiba-inu,sell,1.3323670827958267e-05,0.0,0.0
shiba-inu,sell,1.3323670827958267e-05,0.0,0.0
shiba-inu,sell,1.3323670827958267e-05,0.0,0.0
shiba-inu,sell,1.3323670827958267e-05,0.0,0.0
shiba-inu,buy,1.3323670827958267e-05,0.0,0
shiba-inu,buy,1.3356407180253882e-05,0.0,0
shiba-inu,sell,1.3234445759735536e-05,0.0,-0.0
shiba-inu,sell,1.3234445759735536e-05,0.0,-0.0
shiba-inu,buy,1.3234445759735536e-05,0.0,0
shiba-inu,sell,1.3132938875060063e-05,0.0,-0.0
shiba-inu,buy,1.3264900189824402e-05,0.0,0
shiba-inu,buy,1.3246977687231265e-05,0.0,0
shiba-inu,buy,1.323908054473577e-05,0.0,0
shiba-inu,buy,1.3283369298733305e-05,0.0,0
shiba-inu,sell,1.3411916370387189e-05,0.0,0.0
shiba-inu,sell,1.3411916370387189e-05,0.0,0.0
shiba-inu,sell,1.3411916370387189e-05,0.0,0.0
shiba-inu,sell,1.3411916370387189e-05,0.0,0.0
shiba-inu,buy,1.3411916370387189e-05,0.0,0
shiba-inu,sell,1.3358931028051302e-05,0.0,-0.0
shiba-inu,buy,1.3358931028051302e-05,0.0,0
shiba-inu,sell,1.3160353773855604e-05,0.0,-0.0
shiba-inu,buy,1.3160353773855604e-05,0.0,0
shiba-inu,buy,1.3234696780273225e-05,0.0,0
shiba-inu,sell,1.3163007679395378e-05,0.0,-0.0
shiba-inu,sell,1.3324371138878632e-05,0.0,0.0
shiba-inu,buy,1.3324371138878632e-05,0.0,0
shiba-inu,sell,1.3271427633299027e-05,0.0,-0.0
shiba-inu,buy,1.3476985259330831e-05,0.0,0
shiba-inu,sell,1.3587884495791513e-05,0.0,0.0
shiba-inu,buy,1.3587884495791513e-05,0.0,0
shiba-inu,sell,1.3522718290914781e-05,0.0,-0.0
shiba-inu,buy,1.3522718290914781e-05,0.0,0
shiba-inu,sell,1.3346570085559506e-05,0.0,-0.0
shiba-inu,buy,1.3346570085559506e-05,0.0,0
shiba-inu,sell,1.3216553270467557e-05,0.0,-0.0
bitcoin,buy,105706.3203125,900.0,0
bitcoin,buy,105757.328125,810.0,0
bitcoin,sell,106195.125,810.37,0.37
bitcoin,sell,106195.125,810.83,0.46
bitcoin,buy,105541.859375,729.75,0
bitcoin,buy,105494.1015625,656.78,0
bitcoin,buy,105736.3125,591.1,0
bitcoin,buy,105640.0078125,531.99,0
bitcoin,buy,106003.609375,478.79,0
bitcoin,sell,106713.3046875,479.69,0.9
bitcoin,sell,106713.3046875,480.53,0.84
bitcoin,sell,106713.3046875,481.14,0.61
bitcoin,sell,106713.3046875,481.74,0.6
bitcoin,sell,106713.3046875,482.1,0.36
bitcoin,buy,108724.734375,433.89,0
bitcoin,sell,0.18604302406311035,385.68,-48.21
dogecoin,buy,0.18404026329517365,347.11,0
dogecoin,sell,0.1834612786769867,346.99,-0.12
dogecoin,buy,0.1834612786769867,312.29,0
dogecoin,buy,0.18350523710250854,281.06,0
dogecoin,buy,0.1841733753681183,252.95,0
dogecoin,sell,0.18519112467765808,253.28,0.33
dogecoin,sell,0.18519112467765808,253.57,0.29
dogecoin,sell,0.18605053424835205,253.86,0.29
dogecoin,buy,0.18238262832164764,228.47,0
dogecoin,buy,0.18261080980300903,205.62,0
dogecoin,buy,0.18268366158008575,185.06,0
dogecoin,sell,0.18152078986167908,184.94,-0.12
dogecoin,sell,0.18152078986167908,184.8,-0.14
dogecoin,sell,0.18152078986167908,184.67,-0.13
dogecoin,buy,0.18152078986167908,166.21,0
dogecoin,sell,0.18095022439956665,166.15,-0.06
dogecoin,buy,0.18095022439956665,149.53,0
dogecoin,sell,0.1820731908082962,149.64,0.1
dogecoin,buy,0.1820731908082962,134.67,0
dogecoin,buy,0.18155328929424286,121.21,0
dogecoin,buy,0.18210385739803314,109.08,0
dogecoin,sell,0.18477819859981537,109.31,0.22
dogecoin,sell,0.18477819859981537,109.55,0.24
dogecoin,sell,0.18477819859981537,109.72,0.18
dogecoin,buy,0.18477819859981537,98.75,0
dogecoin,sell,0.18592676520347595,98.82,0.07
dogecoin,buy,0.1863381564617157,88.94,0
dogecoin,sell,0.18560397624969482,88.9,-0.04
dogecoin,buy,0.18307331204414368,80.01,0
dogecoin,sell,0.18492476642131805,80.1,0.09
shiba-inu,buy,1.2563120435515884e-05,72.09,0
shiba-inu,buy,1.2532065738923848e-05,64.88,0
shiba-inu,buy,1.2565084944071714e-05,58.39,0
shiba-inu,buy,1.255524421139853e-05,52.55,0
shiba-inu,buy,1.2580487236846238e-05,47.3,0
shiba-inu,sell,1.2651461474888492e-05,47.35,0.06
shiba-inu,sell,1.2651461474888492e-05,47.42,0.07
shiba-inu,sell,1.2651461474888492e-05,47.47,0.04
shiba-inu,sell,1.2651461474888492e-05,47.51,0.04
shiba-inu,sell,1.2658088962780312e-05,47.54,0.03
